GeneID	ExpectedReadCount	TPM
Gene00538	735	27.29
Gene00539	518	89.19
Gene00540	349	13.72
Gene00541	5	23.79
Gene00542	0	0
Gene00543	0	0
Gene00544	0	0
Gene00545	0	0
Gene00546	277	23.55
Gene00547	0	0
Gene00548	44	1.2
Gene00549	92	27.84
Gene00550	75	24.32
Gene00551	208	9.99
Gene00552	307	46.54
Gene00553	442	54.76
Gene00554	0	0
Gene00555	6	0.66
Gene00556	0	0
Gene00557	222	20.08
Gene00558	27	1.82
Gene00559	871	36.47
Gene00560	1771	457.3
Gene00561	0	0
Gene00562	0	0
Gene00563	0	0
Gene00564	21	7.7
Gene00565	0	0
Gene00566	144	85.96
Gene00567	20	2.77
Gene00568	668	49.48
Gene00569	253	36.97
Gene00570	471	24.17
Gene00571	380.57	45.18
Gene00572	82	11.02
Gene00573	38	169.22
Gene00574	197.89	58.36
Gene00575	92	21.19
Gene00576	191	28.06
Gene00577	571	38.86
Gene00578	0	0
Gene00579	4.06	1.64
Gene00580	70	13.16
Gene00581	3351.61	93.23
Gene00582	265	11.88
Gene00583	0	0
Gene00584	0	0
Gene00585	544	31.27
Gene00586	0	0
Gene00587	0	0
Gene00588	1526	93.06
Gene00589	407	37.4
Gene00590	23	5.76
Gene00591	0	0
Gene00592	37	1.94
Gene00593	474	35.81
Gene00594	131	29.13
Gene00595	34	2.34
Gene00596	109.11	7.14
Gene00597	164.89	8.1
Gene00598	141	7.99
Gene00599	945	35.26
Gene00600	1276	42.77
Gene00601	22	5.86
Gene00602	2	10.55
Gene00603	15	0.74
Gene00604	12	10.91
Gene00605	546	88.91
Gene00606	3	0.12
Gene00607	12	1.61
Gene00608	406	18.02
Gene00609	0	0
Gene00610	11.04	3.01
Gene00611	0	0
Gene00612	245	18.66
Gene00613	155	3.96
Gene00614	0	0
Gene00615	17	0.79
Gene00616	7	0.26
Gene00617	23	19.89
Gene00618	1101	69.84
Gene00619	0	0
Gene00620	2	0.33
Gene00621	65	25.21
Gene00622	45	9.78
Gene00623	0	0
