GeneID	ExpectedReadCount	TPM
Gene00380	580.33	48.68
Gene00381	3	0.63
Gene00382	0	0
Gene00383	2718	88.93
Gene00384	120	15.38
Gene00385	823	32.36
Gene00386	22	4.95
Gene00387	16	2.64
Gene00388	320	65.9
Gene00389	618	51.9
Gene00390	301.78	43.97
Gene00391	0	0
Gene00392	0	0
Gene00393	9	0.29
Gene00394	0.5	0.33
Gene00395	0.5	0.33
Gene00396	380	10.97
Gene00397	74	26.28
Gene00398	287	31.4
Gene00399	77	11.24
Gene00400	46	3.22
Gene00401	0.68	0.62
Gene00402	10.27	0.76
Gene00403	0.79	0.22
Gene00404	0	0
Gene00405	1	4.81
Gene00406	0	0
Gene00407	0	0
Gene00408	0	0
Gene00409	754	31.79
Gene00410	3860	201.7
Gene00411	7	5.44
Gene00412	42	2.67
Gene00413	0	0
Gene00414	28	1.32
Gene00415	9	2.13
Gene00416	8	1.43
Gene00417	38	16.89
Gene00418	38	10.57
Gene00419	0	0
Gene00420	283	22.99
Gene00421	0	0
Gene00422	209.99	9.85
Gene00423	318.01	8.64
Gene00424	2	0.23
Gene00425	48	2.9
Gene00426	1	5.73
Gene00427	126	10.34
Gene00428	3	0.96
Gene00429	56	16.31
Gene00430	72	8.01
Gene00431	4	0.29
Gene00432	7	3.59
Gene00433	1004	22.77
Gene00434	264.06	19.5
Gene00435	0	0
Gene00436	82.94	16.24
Gene00437	0	0
Gene00438	2	0.43
Gene00439	0	0
Gene00440	161	18.71
Gene00441	2	1.05
Gene00442	755	42.74
Gene00443	32	1.7
Gene00444	208	12.85
Gene00445	0	0
Gene00446	9.2	1.59
Gene00447	27.68	3.18
Gene00448	2.35	0.14
Gene00449	106	38.85
Gene00450	679	28.63
Gene00451	9	1.85
Gene00452	60	6.09
Gene00453	0	0
Gene00454	47.31	5.62
Gene00455	87.69	12.61
Gene00456	5	1.43
Gene00457	167	13.57
Gene00458	94	30.09
Gene00459	1	0.51
Gene00460	0	0
Gene00461	0	0
Gene00462	0	0
Gene00463	0	0
Gene00464	0	0
Gene00465	89	11.54
Gene00466	89	22.19
Gene00467	73	24.05
Gene00468	0	0
Gene00469	513	40.46
Gene00470	1	7.53
