GeneID	ExpectedReadCount	TPM
Gene00524	26	2.09
Gene00525	346	49.98
Gene00526	565	12.61
Gene00527	215.61	8.73
Gene00528	142.39	7.75
Gene00529	567	13.7
Gene00530	84	17.13
Gene00531	28.67	3.21
Gene00532	370.33	6.58
Gene00533	1	2.13
Gene00534	0	0
Gene00535	109	4.14
Gene00536	0	0
Gene00537	286	8.54
Gene00538	952	31.74
Gene00539	442	67.24
Gene00540	339	11.96
Gene00541	4	20.21
Gene00542	0	0
Gene00543	1	0.04
Gene00544	0	0
Gene00545	0	0
Gene00546	313	23.76
Gene00547	0	0
Gene00548	18	0.44
Gene00549	98	25.9
Gene00550	67	18.95
Gene00551	249	10.73
Gene00552	434	58.27
Gene00553	477	52.51
Gene00554	0	0
Gene00555	0	0
Gene00556	0	0
Gene00557	245.62	19.82
Gene00558	25	1.5
Gene00559	1214	45.63
Gene00560	1297	293.45
Gene00561	0	0
Gene00562	0	0
Gene00563	0	0
Gene00564	29	9.25
Gene00565	0	0
Gene00566	149	77.25
Gene00567	13	1.6
Gene00568	701	46.43
Gene00569	260	33.67
Gene00570	414	19.05
Gene00571	496.74	52.44
Gene00572	121	14.43
Gene00573	18	84.09
Gene00574	303	78.09
Gene00575	92	18.62
Gene00576	175	22.78
Gene00577	421	25.64
Gene00578	2	0.06
Gene00579	5	1.75
Gene00580	64	10.62
Gene00581	5124.14	128.18
Gene00582	246	9.9
Gene00583	0	0
Gene00584	0	0
Gene00585	550	28.32
Gene00586	0	0
Gene00587	0	0
Gene00588	1464	79.95
Gene00589	505	41.4
Gene00590	21	4.61
Gene00591	0	0
Gene00592	45	2.11
Gene00593	446	30.12
Gene00594	101	19.74
Gene00595	30	1.85
Gene00596	93.3	5.47
Gene00597	98.71	4.35
Gene00598	154	7.82
Gene00599	907	30.4
Gene00600	1523	45.87
Gene00601	16	3.73
Gene00602	4	22.85
Gene00603	3	0.13
Gene00604	5	3.99
Gene00605	481	69.28
Gene00606	0	0
Gene00607	23	2.73
Gene00608	451	17.96
Gene00609	0	0
Gene00610	17.74	4.24
Gene00611	0	0
Gene00612	236	16.07
Gene00613	143	3.29
Gene00614	0	0
Gene00615	20	0.84
Gene00616	2	0.07
Gene00617	14	10.6
Gene00618	98	5.57
Gene00619	0	0
Gene00620	5.04	0.74
Gene00621	67	22.6
Gene00622	59	11.27
Gene00623	0	0
Gene00624	0	0
Gene00625	107	3.9
Gene00626	0	0
Gene00627	129	8.04
Gene00628	245	20.92
Gene00629	1263	199.21
Gene00630	0	0
Gene00631	58	5.93
Gene00632	91	64.03
Gene00633	101	50.94
Gene00634	19	5.18
Gene00635	83	30.73
Gene00636	0	0
Gene00637	94	3
Gene00638	276	8.45
Gene00639	102	25.65
Gene00640	0	0
Gene00641	5	0.24
Gene00642	80	9.66
Gene00643	33	3.96
Gene00644	22	2.07
Gene00645	0	0
Gene00646	35	4.89
Gene00647	484	113.99
Gene00648	5	0.96
Gene00649	167	23.72
Gene00650	1269	26.62
Gene00651	358	10.63
Gene00652	1	0.06
Gene00653	71.19	1.96
Gene00654	23	0.64
Gene00655	620	60.37
Gene00656	12.73	0.66
Gene00657	30.15	0.84
Gene00658	3.12	0.26
Gene00659	2.33	0.22
Gene00660	10	4.29
Gene00661	58	4
Gene00662	11	3.69
Gene00663	0	0
Gene00664	24	19.92
Gene00665	160	18.2
Gene00666	100	14.44
Gene00667	16	3.22
Gene00668	575	37.08
Gene00669	135	10.45
Gene00670	0	0
Gene00671	432.59	27.28
Gene00672	160	22.18
Gene00673	131	27.59
Gene00674	0	0
Gene00675	296	17.21
Gene00676	5	0.65
Gene00677	49	8.43
Gene00678	115	9.12
Gene00679	0	0
Gene00680	0	0
Gene00681	12	8.86
Gene00682	0	0
Gene00683	126	12.58
Gene00684	41	26.31
Gene00685	67	4.59
Gene00686	0	0
Gene00687	308	17.69
Gene00688	97.38	9.68
Gene00689	1633	24.45
Gene00690	520	41.83
Gene00691	1	0.08
Gene00692	538	65.24
Gene00693	1	0.22
Gene00694	0	0
Gene00695	117	13.77
Gene00696	0	0
Gene00697	62	13.33
Gene00698	593	77.19
Gene00699	0	0
Gene00700	0	0
Gene00701	56	4.16
Gene00702	174	10.31
Gene00703	0	0
