GeneID	ExpectedReadCount	TPM
Gene00375	1.45	0.6
Gene00376	2.55	0.73
Gene00377	0	0
Gene00378	34	5.07
Gene00379	19	13.31
Gene00380	474.6	46.52
Gene00381	3	0.73
Gene00382	0	0
Gene00383	2219	84.8
Gene00384	105	15.73
Gene00385	687	31.55
Gene00386	31	8.17
Gene00387	18	3.47
Gene00388	262	63.11
Gene00389	589	57.8
Gene00390	264.06	44.98
Gene00391	1.6	0.44
Gene00392	1.6	0.44
Gene00393	5	0.19
Gene00394	0	0
Gene00395	0	0
Gene00396	357	12.04
Gene00397	62	25.76
Gene00398	266	34.02
Gene00399	70	11.95
Gene00400	36	2.94
Gene00401	0	0
Gene00402	16.5	1.43
Gene00403	0	0
Gene00404	0	0
Gene00405	1	5.33
Gene00406	0	0
Gene00407	0	0
Gene00408	0	0
Gene00409	673	33.14
Gene00410	4228	258.09
Gene00411	6	5.44
Gene00412	26	1.93
Gene00413	0	0
Gene00414	76	4.2
Gene00415	7	1.94
Gene00416	14	2.92
Gene00417	34	17.68
Gene00418	37	12.04
Gene00419	0	0
Gene00420	263	24.97
Gene00421	2	3.01
Gene00422	279.43	15.31
Gene00423	320.57	10.17
Gene00424	2	0.27
Gene00425	45	3.17
Gene00426	0	0
Gene00427	108	10.35
Gene00428	1	0.37
Gene00429	51	17.38
Gene00430	67	8.71
Gene00431	6	0.51
Gene00432	3	1.8
Gene00433	737	19.52
Gene00434	238.84	20.61
Gene00435	7.05	2.65
Gene00436	49.11	11.24
Gene00437	0	0
Gene00438	0	0
Gene00439	0	0
Gene00440	156	21.19
Gene00441	2	1.23
Gene00442	574	37.96
Gene00443	16	1
Gene00444	223	16.09
Gene00445	0	0
Gene00446	7.54	1.52
Gene00447	20.84	2.8
Gene00448	0	0
Gene00449	97	41.6
Gene00450	529	26.05
Gene00451	18	4.34
Gene00452	66	7.83
Gene00453	0	0
Gene00454	53.41	7.41
Gene00455	73.59	12.37
Gene00456	7	2.35
Gene00457	150	14.24
Gene00458	64	23.97
Gene00459	0	0
Gene00460	0	0
Gene00461	0	0
Gene00462	0	0
Gene00463	0	0
Gene00464	0	0
Gene00465	80	12.13
Gene00466	50	14.59
Gene00467	65	25.05
Gene00468	2	0.2
Gene00469	415	38.24
Gene00470	0	0
Gene00471	0	0
Gene00472	5	1.32
Gene00473	65	14.5
Gene00474	0	0
Gene00475	27	28.49
Gene00476	235.98	53.87
Gene00477	99	32.89
Gene00478	33	1.9
Gene00479	0	0
Gene00480	395	17.12
