GeneID	ExpectedReadCount	TPM
Gene00440	189	18.15
Gene00441	0	0
Gene00442	486	22.8
Gene00443	28	1.24
Gene00444	375	19.19
Gene00445	0	0
Gene00446	75.7	10.77
Gene00447	25.87	2.46
Gene00448	0	0
Gene00449	119	35.59
Gene00450	760	26.58
Gene00451	16	2.71
Gene00452	66	5.54
Gene00453	0	0
Gene00454	35.32	3.46
Gene00455	63.68	7.56
Gene00456	12	2.81
Gene00457	241	16.21
Gene00458	82	21.46
Gene00459	0	0
Gene00460	0	0
Gene00461	0	0
Gene00462	0	0
Gene00463	0	0
Gene00464	0	0
Gene00465	100	10.71
Gene00466	98	20.05
Gene00467	71	19.12
Gene00468	0	0
Gene00469	543	35.45
Gene00470	0	0
Gene00471	0	0
Gene00472	6.62	1.22
Gene00473	57	8.95
Gene00474	0	0
Gene00475	42	30.53
Gene00476	494	79.33
Gene00477	119	27.68
Gene00478	60.07	2.45
Gene00479	0	0
Gene00480	527	16.23
Gene00481	0	0
Gene00482	47	2.69
Gene00483	213	48.14
Gene00484	75	12.94
Gene00485	28	7.43
Gene00486	114	18.52
Gene00487	0	0
Gene00488	0	0
Gene00489	0	0
Gene00490	13	1.15
Gene00491	394	54.37
Gene00492	149	13.35
Gene00493	27	1.89
Gene00494	0	0
Gene00495	4.04	1.97
Gene00496	2969.46	38.69
Gene00497	305.73	26.01
Gene00498	14	1.68
Gene00499	21	7.36
Gene00500	8	2.43
Gene00501	59	4.77
Gene00502	0	0
Gene00503	34	6.81
Gene00504	341	20.74
Gene00505	0	0
Gene00506	0	0
Gene00507	189	9.97
Gene00508	1	0.19
Gene00509	0	0
Gene00510	91	13.35
Gene00511	0	0
Gene00512	11	0.83
Gene00513	691	64.37
Gene00514	0	0
Gene00515	92	13.82
Gene00516	3	0.81
Gene00517	7	1.15
Gene00518	1	0.71
Gene00519	127	15.17
Gene00520	0	0
Gene00521	7	1.35
Gene00522	0	0
Gene00523	4	0.36
Gene00524	23	2.02
Gene00525	142	22.42
Gene00526	419	10.18
Gene00527	207.41	9.15
Gene00528	98.59	5.85
Gene00529	650	17.1
Gene00530	63	14.07
Gene00531	24.35	2.98
Gene00532	298.65	5.78
Gene00533	0	0
Gene00534	0	0
Gene00535	107	4.43
Gene00536	0	0
Gene00537	237	7.7
Gene00538	783	28.43
Gene00539	430	71.52
Gene00540	282	10.84
Gene00541	2	11.84
Gene00542	0	0
Gene00543	0	0
Gene00544	0	0
Gene00545	0	0
Gene00546	321	26.58
Gene00547	0	0
Gene00548	18	0.48
Gene00549	116	33.63
Gene00550	75	23.29
Gene00551	208	9.76
Gene00552	309	45.33
Gene00553	449	53.97
Gene00554	0	0
Gene00555	0	0
Gene00556	0	0
Gene00557	242.43	21.34
Gene00558	22	1.44
Gene00559	1260	51.59
Gene00560	2454	608.43
Gene00561	0	0
Gene00562	0	0
Gene00563	0	0
Gene00564	18	6.31
Gene00565	0	0
Gene00566	131	75
Gene00567	22	2.95
Gene00568	557	40.22
Gene00569	274	38.77
Gene00570	461	23.11
Gene00571	411.9	47.47
Gene00572	174	22.67
Gene00573	33	179.98
Gene00574	291.75	82.47
Gene00575	77	17.06
Gene00576	145	20.62
Gene00577	576	38.23
Gene00578	0	0
Gene00579	3	1.16
Gene00580	33	5.99
Gene00581	3001.69	81.75
Gene00582	234	10.26
Gene00583	0	0
Gene00584	0	0
Gene00585	489	27.44
Gene00586	0	0
Gene00587	0	0
Gene00588	2209	131.47
Gene00589	470	42.03
Gene00590	17	4.09
Gene00591	0	0
Gene00592	35	1.79
Gene00593	443	32.62
Gene00594	166	35.52
Gene00595	35	2.35
Gene00596	176.8	11.29
Gene00597	238.2	11.44
Gene00598	146	8.08
Gene00599	1030	37.6
Gene00600	1226	40.21
Gene00601	21	5.37
Gene00602	0	0
Gene00603	1	0.05
Gene00604	7	6.2
Gene00605	461	72.57
Gene00606	1	0.04
Gene00607	14	1.82
Gene00608	525	22.78
Gene00609	0	0
Gene00610	14.67	3.84
Gene00611	0	0
Gene00612	218	16.18
Gene00613	115	2.88
Gene00614	0	0
Gene00615	20	0.91
Gene00616	1	0.04
Gene00617	25	21.01
Gene00618	11	0.68
Gene00619	0	0
Gene00620	6.02	0.97
Gene00621	64	23.73
Gene00622	62	12.97
Gene00623	0	0
Gene00624	0	0
Gene00625	118	4.69
Gene00626	2	0.92
Gene00627	36	2.44
Gene00628	248	23.1
Gene00629	1037	178.86
Gene00630	0	0
Gene00631	70	7.81
Gene00632	72	56.16
Gene00633	103	57.35
